Loaded file for Distance with 1 dimensions and 674 records averaging 3114.81
Loaded file for Weight with 1 dimensions and 266 records averaging 199.4
Frames merged
Values sorted
           Date  Weight   Distance
0    2020-05-06   206.5        NaN
1    2020-05-01   204.9        NaN
2    2020-04-30   205.4        NaN
3    2020-04-30   208.2        NaN
4    2020-04-24   206.9        NaN
5    2020-04-23   207.9        NaN
6    2020-04-22   208.8        NaN
7    2020-04-21   210.2        NaN
8    2020-04-20   210.1   3120.809
266  2020-04-19     NaN  13140.382
267  2020-04-18     NaN   1030.216
268  2020-04-17     NaN   1773.115
269  2020-04-16     NaN   9711.128
270  2020-04-15     NaN   2257.269
9    2020-04-14   208.0   6751.792
10   2020-04-13   206.1   2337.433
271  2020-04-12     NaN  16604.199
272  2020-04-11     NaN    459.549
11   2020-04-10   205.9   2816.032
273  2020-04-09     NaN  10453.393
13   2020-04-08   209.4   6412.265
12   2020-04-08   207.4   6412.265
274  2020-04-07     NaN   6057.142
14   2020-04-06   209.6   1895.343
275  2020-04-05     NaN  17725.338
276  2020-04-04     NaN    718.294
15   2020-04-03   204.2   2530.300
16   2020-04-02   205.3   8899.250
17   2020-04-01   204.2   4221.015
18   2020-03-31   206.4   6969.434
19   2020-03-30   206.7   4492.318
20   2020-03-29   205.2   8345.996
277  2020-03-28     NaN  14496.466
21   2020-03-27   207.6   5536.275
22   2020-03-26   209.0   6256.040
23   2020-03-25   207.2   4644.700
24   2020-03-24   210.4   7559.946
25   2020-03-23   210.5   3671.633
26   2020-03-22   209.9   8637.163
27   2020-03-21   205.2   1399.285
28   2020-03-20   204.5   2624.750
29   2020-03-19   205.8   6567.353
30   2020-03-18   207.9   2912.067
31   2020-03-17   211.9  11297.240
278  2020-03-16     NaN   7739.852
279  2020-03-15     NaN   5567.765
32   2020-03-14   214.0   6311.692
33   2020-03-14   214.1   6311.692
280  2020-03-13     NaN   6997.216
281  2020-03-12     NaN   7606.771
34   2020-03-11   209.2   7734.562
282  2020-03-10     NaN   6068.591
283  2020-03-09     NaN  11774.443
284  2020-03-08     NaN   6717.835
285  2020-03-07     NaN  15509.677
35   2020-03-06   207.4   8134.923
36   2020-03-05   209.7   6867.842
286  2020-03-04     NaN   8870.254
37   2020-03-03   211.4   3111.284
38   2020-03-02   211.5  12598.501
287  2020-03-01     NaN    992.912
288  2020-02-29     NaN   4689.150
289  2020-02-28     NaN   1586.597
39   2020-02-27   208.0   4497.873
290  2020-02-26     NaN   3619.251
40   2020-02-25   209.6   4742.330
41   2020-02-24   212.5   4594.703
291  2020-02-23     NaN   1292.929
292  2020-02-22     NaN   6838.478
42   2020-02-21   209.9   6204.307
293  2020-02-20     NaN  10909.939
43   2020-02-19   211.7   8242.519
44   2020-02-18   214.4   7186.911
294  2020-02-17     NaN   4583.585
295  2020-02-16     NaN   6752.813
296  2020-02-15     NaN   1002.437
297  2020-02-14     NaN   6929.352
45   2020-02-13   210.3   6473.377
46   2020-02-12   212.4  16575.547
47   2020-02-11   211.5   5999.542
48   2020-02-10   210.6   5109.011
298  2020-02-09     NaN   4339.126
299  2020-02-08     NaN   4241.505
49   2020-02-07   212.3   6288.442
50   2020-02-06   213.1   9986.398
51   2020-02-05   215.4  14542.873
52   2020-02-04   213.6   2727.932
53   2020-02-03   210.5   3509.719
300  2020-02-02     NaN   1835.817
54   2020-02-01   212.0   2063.607
55   2020-01-31   211.9   5425.695
57   2020-01-30   215.4   7770.272
56   2020-01-30   212.2   7770.272
58   2020-01-29   213.8  17113.594
301  2020-01-28     NaN   8152.838
302  2020-01-27     NaN   8176.556
303  2020-01-26     NaN   1455.638
304  2020-01-25     NaN  10406.134
59   2020-01-24   209.8   8472.693
305  2020-01-23     NaN   6924.986
306  2020-01-22     NaN   7660.744
307  2020-01-21     NaN   8066.327
308  2020-01-20     NaN   5279.663
60   2020-01-19   213.3   1678.664
309  2020-01-18     NaN   7702.810
310  2020-01-17     NaN   4120.866
61   2020-01-16   215.9   6590.835
311  2020-01-15     NaN   7109.126
312  2020-01-14     NaN   9679.104
62   2020-01-13   216.7   7503.588
313  2020-01-12     NaN   3896.251
314  2020-01-11     NaN   1080.219
63   2019-12-06   212.9        NaN
64   2019-12-05   212.4        NaN
65   2019-11-16   212.0        NaN
66   2019-10-17   194.5        NaN
67   2019-10-03   195.8        NaN
315  2019-07-05     NaN   6597.125
316  2019-07-04     NaN   3069.980
317  2019-07-03     NaN   5395.535
318  2019-07-02     NaN   7491.681
68   2019-07-01   205.3   8723.500
319  2019-06-30     NaN   3980.384
320  2019-06-29     NaN    973.864
321  2019-06-28     NaN   6418.608
69   2019-06-27   202.3   3350.979
70   2019-06-25   205.2        NaN
71   2019-06-14   200.1   8717.948
322  2019-06-13     NaN   6242.405
323  2019-06-12     NaN   5982.079
324  2019-06-11     NaN  11887.661
72   2019-06-10   201.0   6686.086
325  2019-06-09     NaN  11849.872
326  2019-06-08     NaN    491.297
327  2019-06-07     NaN   7482.159
73   2019-06-06   203.3   5959.854
328  2019-06-05     NaN   6944.039
329  2019-06-04     NaN   1942.171
74   2019-06-03   206.1   6744.025
330  2019-06-02     NaN     97.624
331  2019-06-01     NaN   6056.682
332  2019-05-31     NaN   5218.545
333  2019-05-30     NaN   4330.397
334  2019-05-29     NaN  10849.805
335  2019-05-26     NaN      0.000
336  2019-05-25     NaN      0.000
337  2019-05-05     NaN      0.000
75   2019-03-18   206.3        NaN
338  2019-03-17     NaN      0.000
339  2019-03-16     NaN      0.000
340  2019-03-15     NaN      0.000
341  2019-03-14     NaN      0.000
342  2019-03-13     NaN      0.000
343  2019-03-12     NaN      0.000
344  2019-03-11     NaN      0.000
345  2019-03-10     NaN      0.000
346  2019-03-09     NaN      0.000
347  2019-03-08     NaN      0.000
348  2019-03-07     NaN      0.000
76   2019-03-06   202.4      0.000
349  2019-03-05     NaN      0.000
350  2019-03-04     NaN      0.000
351  2019-03-03     NaN      0.000
352  2019-03-02     NaN      0.000
353  2019-03-01     NaN      0.000
354  2019-02-28     NaN      0.000
355  2019-02-27     NaN      0.000
356  2019-02-26     NaN      0.000
357  2019-02-25     NaN      0.000
358  2019-02-24     NaN      0.000
359  2019-02-23     NaN      0.000
360  2019-02-22     NaN      0.000
361  2019-02-21     NaN      0.000
362  2019-02-20     NaN      0.000
363  2019-02-19     NaN      0.000
364  2019-02-18     NaN      0.000
365  2019-02-17     NaN      0.000
366  2019-02-16     NaN      0.000
367  2019-02-15     NaN      0.000
368  2019-02-14     NaN      0.000
369  2019-02-13     NaN      0.000
370  2019-02-12     NaN      0.000
371  2019-02-11     NaN      0.000
372  2019-02-10     NaN      0.000
373  2019-02-09     NaN      0.000
374  2019-02-08     NaN      0.000
375  2019-02-07     NaN      0.000
376  2019-02-06     NaN      0.000
377  2019-02-05     NaN      0.000
378  2019-02-04     NaN      0.000
379  2019-02-03     NaN      0.000
380  2019-02-02     NaN      0.000
381  2019-02-01     NaN      0.000
382  2019-01-31     NaN      0.000
383  2019-01-30     NaN      0.000
384  2019-01-29     NaN      0.000
385  2019-01-28     NaN      0.000
386  2019-01-27     NaN      0.000
